uic,gare,trains_directs_jour,trains_pointe_matin,trains_arr_lille_matin,trains_pointe_soir,tps_trajet_median_min,tps_trajet_min_min,premier_train,dernier_train,amplitude_h,gares_lille_desservies,lignes,retour_trains_directs_jour,retour_pointe_soir,retour_dernier_depart_lille,autocars_directs_jour,vitesse_gc_rapide_kmh,remarque,stop_lat,stop_lon
87296608,Versigny,0,0,0,0,,,,,,,,0,0,,0,,,49.657428,3.433654
87296566,Anizy - Pinon,0,0,0,0,,,,,,,,0,0,,0,,,49.49615,3.448575
87296459,Appilly,0,0,0,0,,,,,,,,0,0,,0,,,49.580466,3.120772
87296442,Tergnier,0,0,0,0,,,,,,,,0,0,,0,,,49.659129,3.297253
87296434,Mennessis,0,0,0,0,,,,,,,,0,0,,0,,,49.692061,3.270562
87296418,Montescourt,0,0,0,0,,,,,,,,0,0,,0,,,49.738786,3.25206
87313239,La Faloise,0,0,0,0,,,,,,,,0,0,,0,,,49.696476,2.348668
87313221,Ailly-sur-Noye,0,0,0,0,,,,,,,,0,0,,0,,,49.754206,2.364147
87313213,Boves,0,0,0,0,,,,,,,,0,0,,0,,,49.846337,2.397793
87313130,Pont-Remy,0,0,0,0,,,,,,,,0,0,,0,,,50.04715,1.898937
87313122,Longpré-les-Corps-Saints,0,0,0,0,,,,,,,,0,0,,0,,,50.011564,2.0025
87313114,Hangest-sur-Somme,0,0,0,0,,,,,,,,0,0,,0,,,49.982239,2.065996
87313106,Picquigny,0,0,0,0,,,,,,,,0,0,,0,,,49.945998,2.143139
87313098,Ailly-sur-Somme,0,0,0,0,,,,,,,,0,0,,0,,,49.928515,2.200476
87276204,Laigneville,0,0,0,0,,,,,,,,0,0,,0,,,49.29291,2.449251
87276113,Chantilly - Gouvieux,0,0,0,0,,,,,,,,0,0,,0,,,49.187219,2.459771
87276006,Creil,0,0,0,0,,,,,,,,0,0,,0,,,49.263775,2.469293
87272286,Corcy,0,0,0,0,,,,,,,,0,0,,0,,,49.255201,3.216073
87272195,Longueil-Annel,0,0,0,0,,,,,,,,0,0,,0,,,49.466991,2.862877
87272096,Esches,0,0,0,0,,,,,,,,0,0,,0,,,49.212562,2.170599
87272013,Jaux,0,0,0,0,,,,,,,,0,0,,0,,,49.386448,2.777299
87271882,Margival,0,0,0,0,,,,,,,,0,0,,0,,,49.439376,3.402717
87276782,Noyon,0,0,0,0,,,,,,,,0,0,,0,,,49.577351,3.006434
87313064,Méricourt - Ribemont,0,0,0,0,,,,,,,,0,0,,0,,,49.955465,2.571807
87313049,Longueau,0,0,0,0,,,,,,,,0,0,,0,,,49.863407,2.352233
87297531,Saint-Hilaire,0,0,0,0,,,,,,,,0,0,,0,,,50.132082,3.913485
87297523,Hachette,0,0,0,0,,,,,,,,0,0,,0,,,50.158171,3.74306
87297515,Les Bons Pères,0,0,0,0,,,,,,,,0,0,,0,,,50.279963,4.011109
87313445,Marcelcave,0,0,0,0,,,,,,,,0,0,,0,,,49.853115,2.581744
87313437,Villers-Bretonneux,0,0,0,0,,,,,,,,0,0,,0,,,49.862968,2.521424
