code_insee,commune,dep,PMUN,dans_MEL,revenu_dispo_ref_mois_eur,taux_pauvrete_pct,cout_achat_maison_mois_eur,cout_location_maison_mois_eur,cout_transport_mois_eur,transport_contraint_voiture,reste_a_vivre_achat_eur,taux_effort_achat_pct,reste_a_vivre_location_eur,taux_effort_location_pct
59409,Monchecourt,59,2501,False,2860.0,15.0,580.0,848.0,518.0,True,1762.0,38.4,1494.0,47.8
59410,Mons-en-Barœul,59,21467,True,2764.0,25.0,1247.0,1168.0,0.0,False,1517.0,45.1,1596.0,42.3
59411,Mons-en-Pévèle,59,2089,False,4020.0,,1020.0,1017.0,292.0,True,2708.0,32.6,2711.0,32.6
59414,Montigny-en-Ostrevent,59,4681,False,2784.0,19.0,746.0,877.0,47.0,False,1991.0,28.5,1860.0,33.2
59416,Morbecque,59,2509,False,3366.0,9.0,667.0,845.0,545.0,True,2154.0,36.0,1976.0,41.3
59418,Mortagne-du-Nord,59,1584,False,2730.0,,572.0,830.0,519.0,True,1639.0,40.0,1381.0,49.4
59419,Mouchin,59,1441,False,3971.0,,1005.0,1202.0,384.0,True,2582.0,35.0,2385.0,39.9
59421,Mouvaux,59,13173,True,4157.0,7.0,1413.0,1238.0,16.0,False,2728.0,34.4,2903.0,30.2
59398,Mérignies,59,3360,False,5068.0,,1258.0,1223.0,21.0,False,3789.0,25.2,3824.0,24.5
59401,Méteren,59,2256,False,3567.0,,885.0,875.0,38.0,False,2644.0,25.9,2654.0,25.6
59423,Neuf-Berquin,59,1403,False,3242.0,,980.0,892.0,475.0,True,1787.0,44.9,1875.0,42.2
59426,Neuville-en-Ferrain,59,10160,True,3548.0,6.0,1157.0,1036.0,19.0,False,2372.0,33.1,2493.0,29.7
59431,Nieppe,59,7606,False,3315.0,11.0,1000.0,969.0,32.0,False,2283.0,31.1,2314.0,30.2
59434,Nivelle,59,1379,False,3702.0,,786.0,891.0,41.0,False,2875.0,22.3,2770.0,25.2
59435,Nomain,59,2585,False,3821.0,,734.0,1067.0,30.0,False,3057.0,20.0,2724.0,28.7
59447,Onnaing,59,8719,False,2691.0,25.0,605.0,800.0,629.0,True,1457.0,45.9,1262.0,53.1
59449,Orchies,59,8455,False,3130.0,12.0,939.0,966.0,30.0,False,2161.0,31.0,2134.0,31.8
59452,Ostricourt,59,5829,False,2684.0,23.0,845.0,920.0,31.0,False,1808.0,32.6,1733.0,35.4
59456,Pecquencourt,59,6232,False,2575.0,27.0,664.0,902.0,47.0,False,1864.0,27.6,1626.0,36.9
59459,Petite-Forêt,59,5058,False,3002.0,18.0,764.0,901.0,52.0,False,2186.0,27.2,2049.0,31.7
59462,Phalempin,59,4849,False,3793.0,5.0,1094.0,1092.0,23.0,False,2676.0,29.4,2678.0,29.4
59466,Pont-à-Marcq,59,2883,False,3617.0,7.0,1182.0,1198.0,21.0,False,2414.0,33.3,2398.0,33.7
59475,Prouvy,59,2173,False,2973.0,16.0,721.0,886.0,563.0,True,1689.0,43.2,1524.0,48.7
59477,Provin,59,4469,True,3126.0,12.0,963.0,890.0,31.0,False,2132.0,31.8,2205.0,29.5
59470,Prémesques,59,2060,True,4024.0,,1331.0,1164.0,19.0,False,2674.0,33.5,2841.0,29.4
59471,Préseau,59,2065,False,3589.0,,861.0,1134.0,598.0,True,2130.0,40.7,1857.0,48.3
59457,Pérenchies,59,8519,True,3363.0,10.0,1169.0,1119.0,19.0,False,2175.0,35.3,2225.0,33.8
59458,Péronne-en-Mélantois,59,1004,True,4240.0,,1474.0,1202.0,17.0,False,2749.0,35.2,3021.0,28.7
59479,Quarouble,59,3131,False,3106.0,13.0,721.0,845.0,721.0,True,1664.0,46.4,1540.0,50.4
59482,Quesnoy-sur-Deûle,59,6920,True,3617.0,10.0,1203.0,1134.0,0.0,False,2414.0,33.3,2483.0,31.4
59485,Quiévy,59,1801,False,2883.0,,458.0,789.0,746.0,True,1679.0,41.8,1348.0,53.2
59487,Radinghem-en-Weppes,59,1393,True,4513.0,,1342.0,1119.0,28.0,False,3143.0,30.4,3366.0,25.4
59489,Raimbeaucourt,59,4015,False,3397.0,11.0,658.0,872.0,33.0,False,2706.0,20.3,2492.0,26.6
59491,Raismes,59,12055,False,2524.0,28.0,585.0,806.0,52.0,False,1887.0,25.2,1666.0,34.0
59497,Renescure,59,2128,False,3220.0,11.0,583.0,751.0,68.0,False,2569.0,20.2,2401.0,25.4
59499,Rexpoëde,59,1992,False,3192.0,,817.0,883.0,633.0,True,1742.0,45.4,1676.0,47.5
59501,Rieulay,59,1243,False,3123.0,,819.0,910.0,52.0,False,2252.0,27.9,2161.0,30.8
59502,Rieux-en-Cambrésis,59,1438,False,2954.0,,486.0,740.0,712.0,True,1756.0,40.6,1502.0,49.2
59507,Ronchin,59,19437,True,3126.0,18.0,1010.0,1133.0,0.0,False,2116.0,32.3,1993.0,36.2
59508,Roncq,59,13784,True,3571.0,7.0,1101.0,1085.0,19.0,False,2451.0,31.4,2467.0,30.9
59509,Roost-Warendin,59,5976,False,2939.0,16.0,764.0,870.0,37.0,False,2138.0,27.3,2032.0,30.9
59511,Rosult,59,1973,False,3898.0,,722.0,938.0,36.0,False,3140.0,19.4,2924.0,25.0
59512,Roubaix,59,98892,True,2059.0,46.0,558.0,901.0,16.0,False,1485.0,27.9,1142.0,44.5
59519,Rumegies,59,1740,False,3572.0,,811.0,1023.0,36.0,False,2725.0,23.7,2513.0,29.6
59486,Râches,59,2660,False,3126.0,12.0,637.0,865.0,37.0,False,2452.0,21.6,2224.0,28.9
59504,Rœulx,59,3779,False,2763.0,20.0,584.0,781.0,52.0,False,2127.0,23.0,1930.0,30.1
59522,Sailly-lez-Lannoy,59,1949,True,4218.0,,1402.0,1168.0,18.0,False,2798.0,33.7,3032.0,28.1
59523,Sainghin-en-Mélantois,59,2848,True,4451.0,,1447.0,1333.0,13.0,False,2991.0,32.8,3105.0,30.2
59524,Sainghin-en-Weppes,59,5641,True,3499.0,7.0,1085.0,974.0,26.0,False,2388.0,31.8,2499.0,28.6
59526,Saint-Amand-les-Eaux,59,15980,False,2963.0,18.0,689.0,884.0,41.0,False,2233.0,24.6,2038.0,31.2
59527,Saint-André-lez-Lille,59,12942,True,3476.0,11.0,1500.0,1247.0,0.0,False,1976.0,43.2,2229.0,35.9
59535,Saint-Jans-Cappel,59,1642,False,3657.0,,821.0,875.0,38.0,False,2798.0,23.5,2744.0,25.0
59544,Saint-Saulve,59,11117,False,3071.0,17.0,796.0,919.0,52.0,False,2223.0,27.6,2100.0,31.6
59546,Saint-Sylvestre-Cappel,59,1154,False,3380.0,,742.0,896.0,491.0,True,2147.0,36.5,1993.0,41.0
59550,Salomé,59,3051,True,3194.0,10.0,879.0,962.0,32.0,False,2283.0,28.5,2200.0,31.1
59551,Saméon,59,1738,False,4072.0,,902.0,1023.0,36.0,False,3134.0,23.0,3013.0,26.0
59553,Santes,59,5660,True,3737.0,5.0,1156.0,1130.0,19.0,False,2562.0,31.4,2588.0,30.7
59557,Saultain,59,2553,False,3446.0,10.0,931.0,1117.0,600.0,True,1915.0,44.4,1729.0,49.8
59559,Sebourg,59,1977,False,4380.0,,695.0,860.0,649.0,True,3036.0,30.7,2871.0,34.5
59560,Seclin,59,12834,True,3172.0,15.0,986.0,1068.0,18.0,False,2168.0,31.7,2086.0,34.2
59566,Sequedin,59,4762,True,3557.0,7.0,1223.0,1136.0,0.0,False,2334.0,34.4,2421.0,31.9
59569,Sin-le-Noble,59,15603,False,2619.0,25.0,611.0,830.0,40.0,False,1968.0,24.9,1749.0,33.2
